Ataque,Custo,Custo AP,Tipo,Estilo,Descrição,Aprimoramento,Motor,Ofensivo,Defensivo,Suporte,Utilitario,Code
Raio Aurora,55,65,gelo,alvo,"Causa (85% de SpA) como dano especial. Se for crítico, aplica Congelado no alvo.","Causa (95% de SpA) como dano especial. Se for crítico, aplica Congelado no alvo.",SpA/CrC,76,0,0,50,115
Nevasca,45,40,gelo,ativa,Muda o clima para Nevasca.,Não tem efeito adicional; o aprimoramento apenas reduz o custo.,Nenhum,35,25,65,90,116
Tumba de Gelo,45,55,gelo,alvo,"Se o alvo estiver Congelado, dobra a duração do Congelado e causa (70% de SpA) como dano especial. Se não estiver Congelado, não causa dano; porém, se o clima for Nevasca, aplica Congelado e causa (35% de SpA) como dano especial.","Se o alvo estiver Congelado, causa (80% de SpA). Se o clima for Nevasca e o alvo não estiver Congelado, causa (45% de SpA).",SpA,62,35,10,88,117
Quebra-Gelo,55,65,gelo,alvo,"Causa (70% de Atk) como dano normal. Se o alvo estiver Congelado, causa +70% de dano e remove Congelado. Se for crítico, remove apenas metade da duração do Congelado.","Causa (78% de Atk) como dano normal. Se o alvo estiver Congelado, causa +80% de dano.",Atk/CrC,84,0,0,68,118
Ataque Polar,50,60,gelo,alvo,"Causa (75% de Atk) como dano normal. Se o usuário estiver em uma das pontas da arena, causa +25% de dano. Se o alvo também estiver em uma das pontas da arena, causa mais +25% de dano.",Causa (85% de Atk) como dano normal. Cada bônus de ponta da arena sobe para +30%.,Atk,76,0,0,64,119
Avalanche,80,90,gelo,ativa,"Causa (60% de SpA) como dano especial a todos os inimigos. Se o clima for Nevasca, causa +25% de dano. Contra alvos Encharcados, causa mais +25% de dano.",Causa (68% de SpA) como dano especial a todos os inimigos. Os bônus de Nevasca e Encharcado sobem para +30% cada.,SpA,94,0,0,82,120
Bola de Neve,30,35,gelo,alvo,"Se o alvo estiver Congelado, não causa dano. Se não estiver Congelado, causa (45% de SpA) como dano especial e adiciona 1 stack de Bola de Neve. A cada 3 stacks, remove os stacks e aplica Congelado.","Causa (52% de SpA) como dano especial. A cada 3 stacks, remove os stacks, aplica Congelado e causa (20% de SpA) extra.",SpA,54,0,0,80,121
Reinado de Gelo,70,80,gelo,alvo,"Causa (80% de SpA) como dano especial. Para cada Pokémon Congelado em campo, causa +10% de dano, até +60%.","Causa (90% de SpA) como dano especial. Para cada Pokémon Congelado em campo, causa +12% de dano, até +72%.",SpA,88,0,0,74,122
Raio de Gelo,75,85,gelo,alvo,"Causa (100% de SpA) como dano especial em linha. Para cada alvo atingido, reduz (15% de SpA) do dano deste ataque.","Causa (110% de SpA) como dano especial em linha. Para cada alvo atingido, reduz (12% de SpA) do dano deste ataque.",SpA,84,0,0,55,123
Grito de Guerra,25,30,lutador,ativa,O usuário ganha (20% de Mag) + (10% de Atk) em Atk.,O usuário ganha (22% de Mag) + (12% de Atk) em Atk.,Mag/Atk,58,0,10,30,124
Implacável,0,0,lutador,passivo,O usuário recebe Imparável de forma permanente.,O usuário também recebe +5 de Dur permanente.,Nenhum,5,45,10,70,125
Soco,30,35,lutador,alvo,Causa (90% de Atk) como dano normal.,Causa (100% de Atk) como dano normal.,Atk,56,0,0,5,126
Treinar,35,40,lutador,ativa,"O usuário ganha +10% em 1 atributo regular aleatório. Se for crítico, também ganha Focado.","O usuário ganha +12% em 1 atributo regular aleatório. Se for crítico, também ganha Focado.",CrC,38,28,35,48,127
Acrobacia,55,65,lutador,alvo,Escolhe uma área aliada e uma área inimiga. O usuário se move para a área aliada e causa (65% de Atk) + (25% de Vel) como dano normal no inimigo escolhido.,Causa (72% de Atk) + (30% de Vel) como dano normal.,Atk/Vel,74,12,20,88,128
Concentração,45,55,lutador,ativa,Remove todos os efeitos negativos do usuário e aplica Focado.,"Remove todos os efeitos negativos do usuário, aplica Focado e recupera 10 de Energia.",Nenhum,10,62,58,82,129
Lançamento,45,55,lutador,alvo,Causa (55% de Atk) como dano normal e move o alvo para uma área aleatória válida.,Causa (65% de Atk) como dano normal e move o alvo para uma área aleatória válida.,Atk,50,10,10,88,130
Treino em Grupo,50,60,lutador,ativa,"O usuário e todos os aliados adjacentes ganham, para cada aliado adjacente ao usuário, +5% em 1 atributo regular aleatório.",O bônus sobe para +6% em 1 atributo regular aleatório por aliado adjacente.,Nenhum,35,42,78,70,131
Karatê,50,60,lutador,alvo,"Causa (70% de Atk) + (40% de CrC) como dano normal. Se o usuário estiver Focado, causa +25% de dano. Se for crítico, o alvo recua.","Causa (78% de Atk) + (45% de CrC) como dano normal. Se o usuário estiver Focado, causa +30% de dano.",Atk/CrC,82,0,0,58,132
Soco Carregado,60,70,lutador,alvo,"Causa (55% de Atk) + (45% da Energia atual do usuário) como dano normal. Se for crítico, recupera 25% da Energia gasta neste ataque e move o alvo 1 área para trás. Se não puder mover, causa +25% de dano.","Causa (62% de Atk) + (50% da Energia atual do usuário) como dano normal. Se não puder mover, causa +30% de dano.",Atk/Ene,86,8,0,68,133
Socos Múltiplos,70,80,lutador,alvo,Causa 4 acertos de (22% de Atk) + (12% de Ene) como dano normal.,Causa 4 acertos de (25% de Atk) + (14% de Ene) como dano normal.,Atk/Ene,90,0,0,38,134
Míssil de Punho,55,65,lutador,alvo,Causa (80% de SpA) como dano especial. Este ataque nunca erra.,Causa (90% de SpA) como dano especial. Este ataque nunca erra.,SpA,72,0,0,62,135
Chamar para Briga,35,40,lutador,ativa,O usuário ganha Provocando e Preparado.,"O usuário ganha Provocando, Preparado e 5 de Energia.",Nenhum,18,64,48,66,136
Chute Pirueta Aéreo,55,65,lutador,alvo,"Causa (80% de Atk) como dano normal. Se o alvo estiver Flutuando ou Voando, causa +40% de dano.","Causa (88% de Atk) como dano normal. Se o alvo estiver Flutuando ou Voando, causa +50% de dano.",Atk,80,0,0,52,137
Chute Duplo,55,65,lutador,alvo,"Escolhe até 2 áreas. Causa (65% de Atk) como dano normal em cada alvo. Se os alvos escolhidos estiverem adjacentes entre si, causa +25% de dano em ambos.","Causa (72% de Atk) como dano normal em cada alvo. Se os alvos estiverem adjacentes, causa +30% de dano.",Atk,82,0,0,72,138
Contra Ataque,45,55,lutador,alvo,"Causa (70% de Atk) como dano normal. Se o alvo já atacou o usuário nesta batalha, causa +45% de dano.","Causa (78% de Atk) como dano normal. Se o alvo já atacou o usuário nesta batalha, causa +55% de dano.",Atk,76,15,0,58,139
Submissão,50,60,lutador,alvo,"Causa (85% de Atk) como dano normal e aplica Enfraquecido no usuário e no alvo. Se for crítico, apenas o alvo fica Enfraquecido.","Causa (95% de Atk) como dano normal. Se for crítico, apenas o alvo fica Enfraquecido.",Atk/CrC,78,8,0,48,140
Cauter,75,85,lutador,alvo,"Este ataque nunca erra. Causa dano físico de (70% de Atk), mas calcula a redução usando a menor defesa do alvo entre Def e SpD. Aplica Cauterizado. Para cada efeito entre Protegido, Refletindo, Evasivo e Imparável no alvo, causa +20% de dano e remove esse efeito.","Causa dano físico de (78% de Atk). Para cada efeito removido entre Protegido, Refletindo, Evasivo e Imparável, causa +25% de dano.",Atk,88,45,5,96,141
Postura de Combatente,55,65,lutador,ativa,O usuário ganha Imparável e Fortificado.,"O usuário ganha Imparável, Fortificado e 5 de Dur.",Nenhum,18,84,35,72,142
Barragem Punho Guardião,40,45,lutador,alvo,O alvo ganha uma barreira equivalente a (20% de Mag) + (12% de Atk).,A barreira sobe para (22% de Mag) + (14% de Atk).,Mag/Atk,0,66,62,25,143
Envenenar,40,35,venenoso,alvo,Aplica Envenenado no inimigo.,Não tem efeito adicional; o aprimoramento apenas reduz o custo.,Nenhum,52,5,0,40,144
Farpa,20,25,venenoso,alvo,"Causa (45% de Atk) como dano normal. Se for crítico, aplica Envenenado no alvo. Se o alvo já estiver Envenenado ou Intoxicado, este ataque sempre é crítico.","Causa (52% de Atk) como dano normal. Se for crítico, aplica Envenenado; contra alvo Envenenado ou Intoxicado, sempre é crítico.",Atk/CrC,50,0,0,52,145
Poluição,30,25,venenoso,ativa,"Se o clima for Chuva, muda o clima para Chuva Ácida. Se não estiver chovendo, não tem efeito.",Não tem efeito adicional; o aprimoramento apenas reduz o custo.,Nenhum,28,20,45,82,146
Ácido,35,40,venenoso,alvo,O alvo perde (15% de SpA do usuário) na sua defesa mais alta entre Def e SpD.,O alvo perde (18% de SpA do usuário) na sua defesa mais alta entre Def e SpD.,SpA,35,42,20,62,147
Esporos Conectados,55,65,venenoso,alvo,Atinge apenas Pokémon Envenenados ou Intoxicados. Causa (55% de SpA) como dano especial em cada alvo válido e causa +10% de dano para cada inimigo atingido.,Causa (62% de SpA) como dano especial em cada alvo válido e causa +12% de dano para cada inimigo atingido.,SpA,78,0,0,74,148
Fumaça Tóxica,45,55,venenoso,alvo,"Aplica Envenenado no alvo. Se o alvo já estiver Envenenado ou se este ataque for crítico, aplica Intoxicado em vez disso.","Aplica Envenenado no alvo. Se o alvo já estiver Envenenado ou se este ataque for crítico, aplica Intoxicado e causa (25% de SpA) como dano especial.",SpA/CrC,46,18,10,78,149
Contaminar,40,35,venenoso,alvo,Transforma a área escolhida em Contaminada.,Não tem efeito adicional; o aprimoramento apenas reduz o custo.,Nenhum,35,20,45,88,150
Gás Venenoso,60,70,venenoso,alvo,Causa (45% de SpA) como dano especial em linha e dobra a duração de Envenenado e Intoxicado nos alvos atingidos.,Causa (52% de SpA) como dano especial em linha e dobra a duração de Envenenado e Intoxicado nos alvos atingidos.,SpA,72,10,0,88,151
Gás Corrosivo,60,70,venenoso,alvo,Causa (45% de SpA) como dano especial em linha e dobra qualquer redução permanente de Def e SpD nos alvos atingidos.,Causa (52% de SpA) como dano especial em linha e dobra qualquer redução permanente de Def e SpD nos alvos atingidos.,SpA,68,42,0,86,152
Bomba de Lodo,65,75,venenoso,alvo,Causa (80% de SpA) como dano especial no alvo e aplica Envenenado nele e em todos os inimigos adjacentes.,Causa (90% de SpA) como dano especial no alvo e aplica Envenenado nele e nos inimigos adjacentes.,SpA,84,0,0,76,153
Vórtex Venenoso,50,60,venenoso,alvo,"Causa (60% de SpA) como dano especial. Para cada passo de Envenenado ou Intoxicado no alvo, causa +4% de SpA, considerando no máximo 15 passos.","Causa (68% de SpA) como dano especial. Cada passo aumenta em +5% de SpA, considerando no máximo 15 passos.",SpA,76,0,0,62,154
Poço,50,60,venenoso,alvo,"Causa (35% de SpA) como dano especial. Se o alvo estiver Envenenado ou Intoxicado, ele perde 100% da Energia atual.","Causa (45% de SpA) como dano especial. Se o alvo estiver Envenenado ou Intoxicado, ele perde 100% da Energia atual.",SpA,48,15,0,90,155
Extração,55,65,venenoso,alvo,"Antes de causar dano, o usuário ganha 2 de Vamp para cada passo de Envenenado ou Intoxicado no alvo, até 20 de Vamp. Em seguida, remove Envenenado e Intoxicado do alvo e causa (75% de Atk) como dano normal.","Antes de causar dano, o usuário ganha 2 de Vamp para cada passo, até 24 de Vamp. Em seguida, remove Envenenado e Intoxicado e causa (85% de Atk) como dano normal.",Atk/Vamp,76,48,18,82,156
Armadura Mole,35,40,venenoso,alvo,O inimigo perde (10% de Per do alvo) + (10% da Mag do usuário) em Per.,O inimigo perde (12% de Per do alvo) + (10% da Mag do usuário) em Per.,Mag,5,42,25,40,157
Imunizado,0,0,venenoso,passivo,O usuário recebe Imunizado de forma permanente.,O usuário também recebe +5 de Dur permanente.,Nenhum,0,78,25,70,158
Rachar Terra,35,40,terrestre,alvo,O inimigo perde (5) + (10% da Mag do usuário) em Dur.,O inimigo perde (7) + (12% da Mag do usuário) em Dur.,Mag,45,0,0,40,159
Areia,25,30,terrestre,alvo,"Causa (35% de SpA) como dano especial. Se o clima for Tempestade de Areia, causa (70% de SpA) como dano especial e o alvo perde 8% de Def.","Causa (42% de SpA) como dano especial. Se o clima for Tempestade de Areia, causa (80% de SpA) e o alvo perde 10% de Def.",SpA,45,20,0,58,160
Rachadura,45,55,terrestre,alvo,"Causa (75% de Atk) como dano normal. Se houver efeito de terreno na área do alvo, causa +25% de dano. Se houver efeito de terreno na área do usuário, causa mais +25% de dano.",Causa (82% de Atk) como dano normal. Cada bônus por efeito de terreno sobe para +30%.,Atk,74,0,0,68,161
Domínio do Solo,40,35,terrestre,ativa,Remove os efeitos de terreno da área do usuário e de todas as áreas adjacentes.,Não tem efeito adicional; o aprimoramento apenas reduz o custo.,Nenhum,0,48,45,88,162
Dança da Areia,40,35,terrestre,ativa,Muda o clima para Tempestade de Areia.,Não tem efeito adicional; o aprimoramento apenas reduz o custo.,Nenhum,35,20,60,88,163
Golpe de Ossos,55,65,terrestre,alvo,"Causa (80% de Atk) como dano normal. Ignora Protegido, Evasivo e Refletindo, removendo esses efeitos do alvo.","Causa (90% de Atk) como dano normal. Ignora Protegido, Evasivo e Refletindo, removendo esses efeitos do alvo.",Atk,78,35,0,86,164
Queda Sísmica,60,70,terrestre,alvo,Causa (60% de Atk) + (20% da Vida atual do usuário) como dano normal. O usuário perde 8% da própria Vida atual.,Causa (68% de Atk) + (22% da Vida atual do usuário) como dano normal. O usuário perde 7% da própria Vida atual.,Atk/Vida,86,0,0,35,165
Tiro de Lama,40,50,terrestre,alvo,"Causa (50% de SpA) como dano especial. O alvo perde 8% de Mag e 10% de Vel. Se for crítico, perde 12% de Mag e 15% de Vel.","Causa (58% de SpA) como dano especial. Se for crítico, a perda sobe para 14% de Mag e 18% de Vel.",SpA/CrC,52,42,10,70,166
Tremor Focalizado,65,75,terrestre,alvo,Remove o efeito de terreno da área do alvo. Causa (65% de Atk) + (15% da Vida atual do alvo) como dano normal e o alvo perde 10% de Def.,Causa (72% de Atk) + (18% da Vida atual do alvo) como dano normal e o alvo perde 12% de Def.,Atk,84,42,0,86,167
Tremor,75,85,terrestre,ativa,Causa (55% de Atk) como dano normal a todos os inimigos e todos eles perdem 8% de Def.,Causa (62% de Atk) como dano normal a todos os inimigos e todos eles perdem 10% de Def.,Atk,88,48,0,70,168
Quebra Chão,80,90,terrestre,ativa,Causa (40% de Atk) como dano normal a todos os inimigos e o usuário recebe 10% da própria Vida atual como dano. Transforma todas as áreas dos inimigos em Quebradas.,Causa (48% de Atk) como dano normal a todos os inimigos. O dano recebido pelo usuário cai para 8% da Vida atual.,Atk/Vida,78,35,0,96,169
Fissura,95,110,terrestre,alvo,"Causa (45% de Atk) como dano normal. Se o alvo estiver com menos de 45% da Vida, executa o alvo.","Causa (55% de Atk) como dano normal. Se o alvo estiver com menos de 45% da Vida, executa o alvo.",Atk,92,0,0,78,170
Terremoto,105,120,terrestre,ativa,"Causa (75% de Atk) como dano normal a todos os inimigos, remove todos os efeitos de terreno das áreas inimigas e ignora Protegido, Evasivo e Refletindo.","Causa (85% de Atk) como dano normal a todos os inimigos, remove todos os efeitos de terreno das áreas inimigas e ignora Protegido, Evasivo e Refletindo.",Atk,98,50,0,96,171
Poeira nos Olhos,25,30,terrestre,alvo,O inimigo perde (10% da Acurácia do alvo) + (10% da Mag do usuário) em Acurácia.,O inimigo perde (12% da Acurácia do alvo) + (10% da Mag do usuário) em Acurácia.,Mag,10,58,35,62,172
Voar,50,45,voador,ativa,O usuário fica Voando.,Não tem efeito adicional; o aprimoramento apenas reduz o custo.,Nenhum,5,45,15,68,173
Olho de Águia,25,30,voador,ativa,O usuário ganha (20% de Mag) + (10% da Acurácia) em Acurácia.,O usuário ganha (22% de Mag) + (12% da Acurácia) em Acurácia.,Mag/Acuracia,38,0,15,50,174
Ventinho,25,30,voador,alvo,"Causa (30% de SpA) como dano especial em linha. Depois, move todos os efeitos dos Pokémon atingidos na linha para o último Pokémon atingido da linha.",Causa (38% de SpA) como dano especial em linha e move os efeitos para o último Pokémon atingido.,SpA,38,15,25,92,175
Voo Alto,35,40,voador,ativa,"Tem 15% de chance natural de errar. Se o usuário já estiver Voando, ganha Evasivo. Se for crítico, ganha Evasivo mesmo sem estar Voando.","A chance natural de errar cai para 10%. Se o usuário já estiver Voando ou se for crítico, ganha Evasivo.",CrC,5,70,18,78,176
Asas Protetoras,45,55,voador,ativa,O usuário perde 20% de Vel e ganha esse mesmo valor em Def e em SpD.,O usuário perde 18% de Vel e ganha 22% de Vel em Def e em SpD.,Vel,0,82,22,35,177
Vendaval,65,75,voador,alvo,"Causa (65% de SpA) como dano especial em linha e empurra todos os inimigos atingidos para a área mais para trás possível. Se algum alvo já estiver na última área possível, causa +35% de dano nele.","Causa (72% de SpA) como dano especial em linha. Se o alvo já estiver na última área possível, causa +45% de dano.",SpA,82,20,0,88,178
Tornadinho Amigo,30,35,voador,alvo,Aplica Voando em um aliado.,Aplica Voando em um aliado e concede 5 de Energia ao alvo.,Nenhum,0,48,68,62,179
Voo Estratégico,45,55,voador,ativa,O usuário ganha Voando e se move para uma área válida à sua escolha.,"O usuário ganha Voando, se move para uma área válida à sua escolha e ganha 5 de Energia.",Nenhum,8,48,28,90,180
Impulso Aéreo,40,50,voador,ativa,"Sempre age antes das ações comuns, mas depois de Ataque Rápido. O usuário se move para uma área válida à sua escolha.","Sempre age antes das ações comuns, mas depois de Ataque Rápido. O usuário se move para uma área válida e ganha Evasivo por 1 passo.",Vel,12,45,15,94,181
Bico Broca,60,70,voador,alvo,Causa (45% de Atk) + (200% de Per) como dano normal.,Causa (50% de Atk) + (220% de Per) como dano normal.,Atk/Per,86,0,0,28,182
Golpe de Asa,40,45,voador,alvo,"Causa (85% de Atk) como dano normal. Se o usuário estiver Voando, causa 25% menos dano.","Causa (95% de Atk) como dano normal. Se o usuário estiver Voando, causa 20% menos dano.",Atk,58,0,0,15,183
Ataque Aéreo,60,70,voador,alvo,"Causa (80% de Atk) como dano normal. Se o usuário estiver Voando, causa +30% de dano. Se o alvo também estiver Voando, causa mais +30% de dano e sempre acerta.",Causa (88% de Atk) como dano normal. Os bônus por usuário Voando e alvo Voando sobem para +35% cada.,Atk,86,0,0,62,184
Rasante,55,65,voador,alvo,"Causa (45% de Atk) + (60% de Vel) como dano normal. Se errar, o usuário fica Descarregado.","Causa (50% de Atk) + (68% de Vel) como dano normal. Se errar, o usuário fica Descarregado.",Atk/Vel,84,0,0,48,185
Ás dos Ares,45,55,voador,alvo,"Causa (55% de Atk) como dano normal, remove Voando do alvo e nunca erra.","Causa (65% de Atk) como dano normal, remove Voando do alvo e nunca erra.",Atk,62,20,0,82,186
Tornado,85,100,voador,ativa,Causa (60% de SpA) como dano especial a todos os inimigos e move cada inimigo atingido para uma área aleatória válida.,Causa (68% de SpA) como dano especial a todos os inimigos e move cada inimigo atingido para uma área aleatória válida.,SpA,90,15,0,96,187
Ciclone,100,115,voador,ativa,Causa (65% de SpA) como dano especial a todos os inimigos e remove todos os efeitos dos Pokémon inimigos.,Causa (75% de SpA) como dano especial a todos os inimigos e remove todos os efeitos dos Pokémon inimigos.,SpA,96,45,0,98,188
Tiro de Penas,55,65,voador,alvo,Escolhe até 5 áreas. Causa (35% de Atk) como dano normal em cada Pokémon atingido.,Causa (42% de Atk) como dano normal em cada Pokémon atingido.,Atk,72,0,0,82,189
Voador,0,0,voador,passivo,O usuário recebe Voando de forma permanente.,A penalidade de Assertividade do Voando permanente passa de -40 para -35.,Nenhum,5,55,15,80,190
Barragem de Vento,35,40,voador,alvo,O alvo ganha uma barreira equivalente a (18% de Mag) + (10% de Vel).,A barreira sobe para (20% de Mag) + (12% de Vel).,Mag/Vel,0,60,58,28,191
Confusão,45,40,psiquico,alvo,Aplica Confuso no inimigo.,Não tem efeito adicional; o aprimoramento apenas reduz o custo.,Nenhum,15,52,25,65,192
Teleporte,25,30,psiquico,ativa,"Escolhe uma área aliada válida e move o usuário para essa área. Se for crítico, recupera 50% da Energia gasta neste ataque.","Move o usuário para uma área aliada válida. Se for crítico, recupera 70% da Energia gasta neste ataque.",CrC,0,30,20,88,193
Olho Que Tudo Vê,0,0,psiquico,passivo,Nenhum Pokémon fica Furtivo para a equipe do usuário.,A equipe do usuário também ganha +5 de Acurácia contra Pokémon que tentarem ficar Furtivos.,Nenhum,0,48,62,92,194
Toque Mental,40,50,psiquico,alvo,"Causa (75% de Atk) como dano normal. Se for crítico, remove 1 efeito positivo aleatório do alvo.","Causa (85% de Atk) como dano normal. Se for crítico, remove 1 efeito positivo aleatório do alvo.",Atk/CrC,62,25,0,68,195
Cabeçada Zen,45,55,psiquico,alvo,"Causa (85% de Atk) como dano normal e remove Imune do alvo, se houver.","Causa (95% de Atk) como dano normal e remove Imune do alvo, se houver.",Atk,68,28,0,62,196
Super Meditação,45,55,psiquico,ativa,Remove todos os efeitos negativos do usuário e recupera Energia equivalente a 20% da Int do usuário.,Remove todos os efeitos negativos do usuário e recupera Energia equivalente a 25% da Int do usuário.,Int,5,65,55,82,197
Distúrbio,55,65,psiquico,alvo,"Remove todos os efeitos positivos do usuário. Causa (65% de SpA) como dano especial e causa +20% de dano para cada efeito positivo removido, até +80%.","Causa (72% de SpA) como dano especial e causa +22% de dano para cada efeito positivo removido, até +88%.",SpA,82,0,0,70,198
Proteção Mental,40,50,psiquico,ativa,"O usuário ganha Imune. Se já estiver Imune, ganha Protegido.","O usuário ganha Imune. Se já estiver Imune, ganha Protegido e 5 de Energia.",Nenhum,0,82,30,64,199
Turbomente,0,0,psiquico,passivo,"No início da partida, o usuário ganha Amp equivalente a 15% da Int.","No início da partida, o usuário ganha Amp equivalente a 18% da Int.",Int,62,0,15,35,200
Teletransporte,65,75,psiquico,alvo,"Escolhe 2 áreas aliadas ou 2 áreas inimigas. Troca os Pokémon dessas áreas de lugar, podendo mover aliados ou inimigos forçadamente.",Troca os Pokémon de 2 áreas aliadas ou 2 áreas inimigas e reduz em 5 a Energia dos inimigos movidos.,Nenhum,8,35,58,96,201
Transferência Mental,60,70,psiquico,alvo,"Escolhe um aliado e um inimigo. O aliado recebe 1 efeito positivo aleatório do inimigo, e o inimigo recebe 1 efeito negativo aleatório do aliado. Ambos os efeitos transferidos ganham +1 passo. Se for crítico, ganham +2 passos.","Os efeitos transferidos ganham +2 passos. Se for crítico, ganham +3 passos.",CrC,20,40,78,94,202
Ataque Psicológico,60,70,psiquico,alvo,Causa (35% de SpA) + (90% de Int) como dano especial.,Causa (40% de SpA) + (100% de Int) como dano especial.,SpA/Int,84,0,0,35,203
Ultrapsíquico,70,80,psiquico,alvo,"Causa (60% de SpA) como dano especial. Para cada passo de qualquer efeito no alvo, causa +3% de SpA, considerando no máximo 25 passos.","Causa (68% de SpA) como dano especial. Para cada passo de qualquer efeito no alvo, causa +3,5% de SpA, considerando no máximo 25 passos.",SpA,88,0,0,76,204
Instinto,30,35,psiquico,ativa,O usuário ganha (20% de Mag) + (10% de Int) em Int.,O usuário ganha (22% de Mag) + (12% de Int) em Int.,Mag/Int,20,10,25,58,205
Raio Psíquico,75,85,psiquico,alvo,"Causa (100% de SpA) como dano especial em linha. Para cada alvo atingido, reduz (15% de SpA) do dano deste ataque.","Causa (110% de SpA) como dano especial em linha. Para cada alvo atingido, reduz (12% de SpA) do dano deste ataque.",SpA,84,0,0,55,206
Barragem Mental,35,40,psiquico,alvo,O alvo ganha uma barreira equivalente a (18% de Mag) + (10% de Int).,A barreira sobe para (20% de Mag) + (12% de Int).,Mag/Int,0,62,60,28,207
Regeneração,45,40,inseto,alvo,O alvo recebe Regeneração.,Não tem efeito adicional; o aprimoramento apenas reduz o custo.,Nenhum,0,60,72,30,208
Regenerador,0,0,inseto,passivo,"No fim de cada turno, o usuário cura (6% de Mag) + 2% da Vida perdida.","A cura sobe para (7% de Mag) + 2,5% da Vida perdida.",Mag/Vida,0,72,48,58,209
Seda,25,30,inseto,alvo,"Causa (35% de SpA) como dano especial. O alvo perde 3% de Vel, +1% de Vel para cada vez que Seda já foi usada nesse alvo.","Causa (42% de SpA) como dano especial. A perda base sobe para 4% de Vel, +1% por uso anterior.",SpA,38,32,10,78,210
Casulo Improvisado,45,55,inseto,ativa,"O usuário ganha uma barreira equivalente a 75% da própria Vida perdida + (5% de Mag), mas aplica Enraizado em si mesmo.","A barreira sobe para 85% da Vida perdida + (8% de Mag), mas ainda aplica Enraizado.",Mag/Vida,0,88,28,55,211
Mordida de Inseto,40,50,inseto,alvo,"Causa (80% de Atk) como dano normal. Se for crítico, dobra o Vamp do usuário apenas para este ataque.","Causa (90% de Atk) como dano normal. Se for crítico, dobra o Vamp apenas para este ataque.",Atk/Vamp,70,18,0,42,212
Doação de Energia,35,40,inseto,alvo,"O alvo recupera Energia equivalente a 60% da Energia gasta neste ataque. Se for crítico, recupera 85%.","O alvo recupera 70% da Energia gasta neste ataque. Se for crítico, recupera 100%.",Ene/CrC,0,18,75,62,213
Corte Serrilhado,70,80,inseto,alvo,Causa (55% de Atk) + (25% de Per) como dano normal e adiciona dano extra equivalente a 200% da Dur do alvo.,Causa (62% de Atk) + (30% de Per) como dano normal e adiciona dano extra equivalente a 220% da Dur do alvo.,Atk/Per,88,0,0,52,214
Carcomer,45,55,inseto,alvo,"Causa (70% de Atk) como dano normal. O usuário cura uma porcentagem do dano causado equivalente à porcentagem de Vida perdida do alvo, limitada a 80%.",Causa (78% de Atk) como dano normal. A cura baseada na Vida perdida do alvo passa a ser limitada a 90%.,Atk,72,58,10,48,215
Evolução Incerta,55,65,inseto,ativa,"O usuário perde 20% dos seus 2 menores atributos regulares, exceto Vida, e ganha 25% nos seus 2 maiores atributos regulares, exceto Vida.","O usuário perde 18% dos seus 2 menores atributos regulares e ganha 28% nos seus 2 maiores atributos regulares, exceto Vida.",Nenhum,62,35,35,82,216
Infestação,45,55,inseto,alvo,"Causa (65% de SpA) como dano especial. Se for crítico, causa +15% de dano para cada vez que Infestação já foi usada nesse alvo e cura o usuário em 10% do dano causado.","Causa (72% de SpA) como dano especial. Se for crítico, causa +18% de dano por uso anterior e cura 12% do dano causado.",SpA/CrC,78,22,0,68,217
Tesoura X,75,85,inseto,alvo,"Atinge sempre as posições 1, 3, 5, 7 e 9 da arena inimiga. Causa (65% de Atk) como dano normal em cada alvo. Inimigos na posição 5 recebem +35% de dano.",Causa (72% de Atk) como dano normal em cada alvo. Inimigos na posição 5 recebem +40% de dano.,Atk,92,0,0,86,218
Canibalismo Filial,60,70,inseto,alvo,Mata um aliado com 30% ou menos da Vida e cura o usuário em 85% da própria Vida perdida. Falha se o aliado tiver mais de 30% da Vida.,Cura o usuário em 95% da própria Vida perdida. Ainda falha se o aliado tiver mais de 30% da Vida.,Vida,35,92,10,76,219
Devorar,55,65,inseto,alvo,"Causa (85% de Atk) como dano normal e cura o usuário em 25% do dano causado. Se nocautear o alvo, a cura dobra e o usuário ganha 10 de Vamp fixo.","Causa (95% de Atk) como dano normal e cura 30% do dano causado. Se nocautear, a cura dobra e ganha 12 de Vamp fixo.",Atk/Vamp,84,64,10,58,220
Teia Pegajosa,25,30,inseto,alvo,O inimigo perde (10% de Vel do alvo) + (10% da Mag do usuário) em Vel.,O inimigo perde (12% de Vel do alvo) + (10% da Mag do usuário) em Vel.,Mag,20,25,25,68,221
Casca de Pedra,25,30,rocha,ativa,O usuário ganha (20% de Mag) + (10% de Def) em Def.,O usuário ganha (22% de Mag) + (12% de Def) em Def.,Mag/Def,0,58,15,25,222
Barragem Rochosa,45,50,rocha,alvo,O alvo ganha uma barreira equivalente a (18% de Mag) + (15% de Def).,A barreira sobe para (20% de Mag) + (17% de Def).,Mag/Def,0,72,65,25,223
Pedregulho,30,35,rocha,alvo,"Causa (100% de Atk) como dano normal, mas o alvo usa 150% da própria Def na redução deste dano.","Causa (115% de Atk) como dano normal, mas o alvo ainda usa 150% da própria Def na redução deste dano.",Atk,55,0,0,18,224
Polida Estratégica,35,40,rocha,ativa,"O usuário perde 5% da Vida Máxima e ganha 15% de Vel. Se for crítico, perde apenas 3% da Vida Máxima.","O usuário perde 5% da Vida Máxima e ganha 18% de Vel. Se for crítico, perde apenas 3% da Vida Máxima.",Vel/CrC,25,18,15,68,225
